STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
WISCONSIN,5612459,1997,July,,,,,,0,0,0,0,.7K,
IDAHO,5611814,1997,July,,,,,,0,0,0,0,,
IDAHO,5611815,1997,July,,,,,,0,0,0,0,,
MISSOURI,5606925,1997,July,,,,,,0,0,0,0,,
MISSOURI,5606926,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611650,1997,July,,,,,,0,0,0,0,,
SOUTH DAKOTA,5610551,1997,July,,,,,,0,0,0,0,,
IOWA,5603124,1997,July,,,,,,0,0,0,0,25K,15K
UTAH,5622889,1997,June,,,,,,0,0,0,0,20K,
IOWA,5603119,1997,July,,,,,,0,0,0,0,25K,15K
MONTANA,5614285,1997,June,,,,,,0,0,0,0,,
MONTANA,5614286,1997,June,,,,,,0,0,0,0,,
INDIANA,5621048,1997,July,,,,,,0,0,0,0,,1K
ILLINOIS,5605759,1997,July,,,,,,0,0,0,0,,
MONTANA,5614700,1997,June,,,,,,0,0,0,0,,
COLORADO,5605901,1997,July,,,,,,0,0,0,0,,
PUERTO RICO,5622205,1997,June,,,,,,0,0,0,0,,
PUERTO RICO,5622206,1997,June,,,,,,0,0,0,0,,
PUERTO RICO,5622207,1997,June,,,,,,0,0,0,0,1K,
PUERTO RICO,5622210,1997,June,,,,,,0,0,0,0,1K,
MISSOURI,5585977,1997,July,,,,,,0,0,0,0,,
MONTANA,5614279,1997,June,,,,,,0,0,0,0,,
MONTANA,5614284,1997,June,,,,,,0,0,0,0,,
UTAH,5622884,1997,June,,,,,,0,0,0,0,,
UTAH,5622886,1997,June,,,,,,0,0,0,0,10K,
COLORADO,5607431,1997,July,,,,,,0,0,0,0,20K,0
MICHIGAN,5607709,1997,July,,,,,,0,0,0,0,,
MICHIGAN,5607710,1997,July,,,,,,0,0,0,0,,
MICHIGAN,5607711,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611653,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611654,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611655,1997,July,,,,,,0,0,0,0,,
ARIZONA,5611378,1997,August,,,,,,0,0,0,0,0K,0K
SOUTH DAKOTA,5612864,1997,July,,,,,,0,0,0,0,,
SOUTH DAKOTA,5612865,1997,July,,,,,,0,0,0,0,,
TEXAS,5611769,1997,July,,,,,,0,0,0,0,20K,
ARIZONA,5612840,1997,August,,,,,,0,0,0,0,1K,0K
TEXAS,5611373,1997,June,,,,,,0,0,0,0,10K,
SOUTH DAKOTA,5608645,1997,June,,,,,,0,0,0,0,,
SOUTH DAKOTA,5608646,1997,June,,,,,,0,0,0,0,,
OHIO,5616187,1997,July,,,,,,0,0,0,0,100K,
NEBRASKA,5612743,1997,June,,,,,,0,0,0,0,,
NEBRASKA,5612744,1997,June,,,,,,0,0,0,0,,
IOWA,5612745,1997,June,,,,,,0,0,0,0,,
NEBRASKA,5612741,1997,June,,,,,,0,0,0,0,,
WYOMING,5609687,1997,August,,,,,,0,0,0,0,1K,0
OHIO,5612304,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5607756,1997,June,,,,,,0,0,0,0,5K,
ILLINOIS,5609729,1997,July,,,,,,0,0,0,0,5K,
IDAHO,5618267,1997,August,,,,,,0,0,0,0,,
INDIANA,5607766,1997,June,,,,,,0,0,0,0,,
INDIANA,5607767,1997,June,,,,,,0,0,0,0,,
INDIANA,5607768,1997,June,,,,,,0,0,0,0,,
INDIANA,5607769,1997,June,,,,,,0,0,0,0,,
MONTANA,5608351,1997,June,,,,,,0,0,0,0,,
TEXAS,5610768,1997,August,,,,,,0,0,0,0,,
MICHIGAN,5607743,1997,July,,,,,,0,0,0,0,,
TEXAS,5607795,1997,July,,,,,,0,0,0,0,,
MINNESOTA,5606842,1997,July,,,,,,0,0,0,0,,
MINNESOTA,5606843,1997,July,,,,,,0,0,0,0,,
NORTH DAKOTA,5606918,1997,July,,,,,,0,0,0,0,2M,2M
NORTH DAKOTA,5606919,1997,July,,,,,,0,0,0,0,2M,2M
MISSOURI,5606922,1997,July,,,,,,0,0,0,0,,
MONTANA,5614701,1997,June,,,,,,0,0,0,0,,
FLORIDA,5613893,1997,August,,,,,,0,0,0,0,50K,0
FLORIDA,5613894,1997,August,,,,,,0,0,0,0,2K,0
ARIZONA,5611442,1997,August,,,,,,0,0,0,0,0K,0K
TEXAS,5611768,1997,July,,,,,,0,0,0,0,20K,
WYOMING,5607047,1997,July,,,,,,0,0,0,0,5K,0
MONTANA,5614702,1997,June,,,,,,0,0,0,0,,
LOUISIANA,5611760,1997,July,,,,,,0,0,0,0,10K,
WISCONSIN,5612280,1997,July,,,,,,0,0,0,0,,
MICHIGAN,5618581,1997,June,,,,,,0,0,0,0,500K,
MONTANA,5608350,1997,June,,,,,,0,0,0,0,,
ALASKA,5606326,1997,July,,,,,,0,0,0,0,1.25M,
MISSOURI,5614886,1997,August,,,,,,0,0,0,0,,
MONTANA,5613108,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611756,1997,July,,,,,,0,0,0,0,20K,
FLORIDA,5610365,1997,July,,,,,,0,0,0,0,5K,
COLORADO,5613201,1997,August,,,,,,0,0,2,0,,
KENTUCKY,5609731,1997,July,,,,,,0,0,0,0,,
ILLINOIS,5609733,1997,July,,,,,,0,0,0,0,,
FLORIDA,5616238,1997,June,,,,,,0,0,0,0,0,0
COLORADO,5607368,1997,July,,,,,,0,0,0,0,,
COLORADO,5607370,1997,July,,,,,,0,0,0,0,,
MONTANA,5604644,1997,July,,,,,,0,0,0,0,,
IOWA,5612746,1997,June,,,,,,0,0,0,0,,
OHIO,5612986,1997,August,,,,,,0,0,0,0,100K,
MINNESOTA,5618136,1997,August,,,,,,0,0,0,0,,
MISSOURI,5611023,1997,July,,,,,,0,0,0,0,,
KANSAS,5618479,1997,July,,,,,,0,0,0,0,,
NEW JERSEY,5614595,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5588893,1997,February,,,,,,0,0,0,0,,
INDIANA,5607764,1997,June,,,,,,0,0,0,0,,
INDIANA,5607765,1997,June,,,,,,0,0,0,0,,
MISSISSIPPI,5588894,1997,February,,,,,,0,0,0,0,,
INDIANA,5617624,1997,June,,,,,,0,0,0,0,,
INDIANA,5617625,1997,June,,,,,,0,0,0,0,,
INDIANA,5617626,1997,June,,,,,,0,0,0,0,,
INDIANA,5617627,1997,June,,,,,,0,0,0,0,,
INDIANA,5617628,1997,June,,,,,,0,0,0,0,,
INDIANA,5617629,1997,June,,,,,,0,0,0,0,,
MINNESOTA,5606500,1997,July,,,,,,0,0,0,0,,
MISSISSIPPI,5611733,1997,July,,,,,,0,0,0,0,,
NEBRASKA,5612742,1997,June,,,,,,0,0,0,0,,
IOWA,5585532,1997,February,,,,,,0,0,0,0,,
