EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
5275049,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275043,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275040,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275045,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275047,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275048,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275046,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275042,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275044,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275041,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275869,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275950,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275955,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275946,2001,July,,OKLAHOMA,,,,,0,0,6,0,
5275949,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275956,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275944,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275874,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275947,2001,July,,OKLAHOMA,,,,,0,0,1,0,
5275888,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275875,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275943,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275948,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275891,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275890,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275938,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275876,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275952,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275896,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275940,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275886,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275894,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275892,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275893,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275884,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275953,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275885,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275954,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275878,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275879,2001,July,,OKLAHOMA,,,,,0,0,1,0,
5275939,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275945,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275877,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275870,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275871,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275881,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275895,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275951,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275887,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275941,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275882,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275883,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275889,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275051,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275050,2001,December,,NEW JERSEY,,,,,0,0,0,0,0
5275942,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275872,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275873,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5275880,2001,July,,OKLAHOMA,,,,,0,0,0,0,
5233683,2001,February,,ALABAMA,,,,,0,0,0,0,0K
5233684,2001,February,,ALABAMA,,,,,0,0,0,0,0K
5233682,2001,February,,ALABAMA,,,,,0,0,0,0,0K
5233681,2001,February,,ALABAMA,,,,,0,0,0,0,0K
5241890,2001,April,,ALABAMA,,,,,0,0,0,0,0K
5243335,2001,May,,CALIFORNIA,,,,,0,0,1,0,
5243337,2001,May,,CALIFORNIA,,,,,0,0,1,0,
5242155,2001,April,,ALABAMA,,,,,0,0,0,0,0K
5244152,2001,May,,CALIFORNIA,,,,,0,0,0,0,
5244153,2001,May,,CALIFORNIA,,,,,0,0,0,0,
5243226,2001,April,,MISSOURI,,,,,0,0,4,0,
5243334,2001,May,,CALIFORNIA,,,,,19,0,0,0,
5254218,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254400,2001,June,,DISTRICT OF COLUMBIA,,,,,0,0,0,0,
5254739,2001,June,,MARYLAND,,,,,0,0,0,0,
5254215,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254216,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254220,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254221,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254217,2001,June,,VIRGINIA,,,,,0,0,0,0,
5253945,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5256711,2001,July,,WISCONSIN,,,,,0,0,1,0,
5256712,2001,July,,WISCONSIN,,,,,0,0,1,0,
5254745,2001,June,,MARYLAND,,,,,0,0,0,0,
5258944,2001,July,,NEBRASKA,,,,,0,0,0,0,
5258945,2001,July,,NEBRASKA,,,,,0,0,0,0,
5253959,2001,June,,MARYLAND,,,,,0,0,0,0,
5253958,2001,June,,MARYLAND,,,,,0,0,0,0,
5254588,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254589,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5258793,2001,July,,MISSOURI,,,,,0,0,0,0,
5258832,2001,July,,NEBRASKA,,,,,0,0,0,0,
5253379,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5259449,2001,July,,WISCONSIN,,,,,0,0,0,0,
5253950,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253859,2001,June,,PENNSYLVANIA,,,,,0,0,0,0,
5256721,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256722,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256723,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256724,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256725,2001,July,,IOWA,,,,,0,0,0,0,
5256726,2001,July,,IOWA,,,,,0,0,0,0,
5257599,2001,July,,MISSOURI,,,,,0,0,0,0,
5257600,2001,July,,MISSOURI,,,,,0,0,0,0,
5254489,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254490,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254491,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254492,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258913,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258914,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258915,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258916,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258917,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258918,2001,July,,ILLINOIS,,,,,0,0,0,0,
5256705,2001,July,,WISCONSIN,,,,,0,0,0,0,
5257597,2001,July,,MISSOURI,,,,,0,0,0,0,
5257598,2001,July,,MISSOURI,,,,,0,0,0,0,
5257601,2001,July,,MISSOURI,,,,,0,0,0,0,
5257602,2001,July,,MISSOURI,,,,,0,0,0,0,
