STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
NEW YORK,5605845,1997,July,F2,42.4,-73.42,42.4,-73.4,0,0,0,0,550K,20K
MINNESOTA,5615530,1997,July,F0,43.7,-94.02,43.72,-93.97,0,0,0,0,100K,
FLORIDA,5614888,1997,July,F0,26.97,-82.1,26.97,-82.1,0,0,0,0,4K,0
ILLINOIS,5614257,1997,August,F0,41.1,-90.02,41.1,-90.02,0,0,0,0,,
ILLINOIS,5614258,1997,August,F0,41.12,-89.97,41.12,-89.97,0,0,0,0,0,0
FLORIDA,5616998,1997,June,F0,28.55,-81.37,28.55,-81.37,0,0,0,0,20K,
FLORIDA,5616248,1997,July,F0,27.78,-82.47,27.78,-82.47,0,0,0,0,100K,0
MONTANA,5604794,1997,July,F0,45.58,-108.77,45.58,-108.77,0,0,0,0,,
FLORIDA,5613885,1997,August,F0,26.72,-81.97,26.72,-81.97,0,0,0,0,0,0
OHIO,5611996,1997,July,F2,39.68,-83.82,39.68,-83.82,0,0,0,0,50K,
WYOMING,5606811,1997,July,F0,44.38,-108.08,44.38,-108.08,0,0,0,0,,
OHIO,5612303,1997,July,F1,40.22,-82.72,40.22,-82.72,0,0,0,0,5K,10K
OHIO,5611910,1997,August,F0,38.82,-83.57,38.83,-83.48,0,0,0,0,100K,
NEW YORK,5609943,1997,July,F0,42.08,-77.93,42.08,-77.93,0,0,0,0,35K,15K
NEBRASKA,5615156,1997,August,F0,40.8,-102.03,40.77,-102.05,0,0,0,0,,
NEBRASKA,5615157,1997,August,F0,40.75,-101.98,40.6,-102.03,0,0,0,0,,
NORTH DAKOTA,5606912,1997,July,F0,47.05,-96.95,47.05,-96.95,0,0,0,0,,
NORTH DAKOTA,5606913,1997,July,F0,46.88,-96.93,46.88,-96.93,0,0,0,0,,
NORTH DAKOTA,5610860,1997,August,F0,46.75,-98.7,46.75,-98.7,0,0,0,0,,
NORTH DAKOTA,5610865,1997,August,F1,46.9,-98.87,46.9,-98.87,0,0,0,0,.25M,
NORTH DAKOTA,5607108,1997,July,F0,48.12,-101.28,48.03,-100.98,0,0,0,0,,
FLORIDA,5602968,1997,July,F0,26.82,-80.67,26.82,-80.67,0,0,0,0,,
NORTH DAKOTA,5606911,1997,July,F0,47.05,-96.93,47.05,-96.93,0,0,0,0,,
SOUTH DAKOTA,5615965,1997,August,F0,45,-96.97,45,-96.97,0,0,0,0,,
SOUTH DAKOTA,5612012,1997,July,F0,44.52,-100.33,44.52,-100.33,0,0,0,0,,
SOUTH DAKOTA,5612806,1997,July,F1,44.55,-96.47,44.55,-96.45,0,0,0,0,20K,
IOWA,5610028,1997,August,F1,43.02,-92.77,43,-92.7,0,0,0,0,400K,50K
NORTH DAKOTA,5607119,1997,July,F0,48.73,-101.57,48.72,-101.42,0,0,0,0,,
IOWA,5606995,1997,July,F0,43.32,-96.45,43.32,-96.45,0,0,0,0,,
ALABAMA,5607204,1997,July,F0,30.28,-87.57,30.28,-87.57,0,0,0,0,20K,
NORTH DAKOTA,5607377,1997,July,F0,47.32,-102.07,47.3,-102.03,0,0,0,0,35K,
NORTH DAKOTA,5607380,1997,July,F0,48.3,-101.28,48.3,-101.28,0,0,0,0,,
SOUTH DAKOTA,5606990,1997,July,F0,43.3,-96.58,43.3,-96.58,0,0,0,0,,
SOUTH DAKOTA,5606991,1997,July,F0,43.42,-96.7,43.42,-96.7,0,0,0,0,,
NORTH DAKOTA,5607109,1997,July,F0,48.18,-101.37,48.18,-101.37,0,0,0,0,,
NORTH DAKOTA,5607110,1997,July,F0,48.78,-101.15,48.78,-101.15,0,0,0,0,,
MISSOURI,5610799,1997,July,F0,37.22,-90.35,37.22,-90.35,0,0,0,0,,
MICHIGAN,5605738,1997,July,F1,44.02,-83.68,44.05,-83.68,1,0,0,0,,
SOUTH CAROLINA,5608872,1997,July,F1,34.7,-80.9,34.7,-80.9,0,0,0,0,15K,
MASSACHUSETTS,5605848,1997,July,F2,42.17,-73.22,42.22,-73.15,0,0,0,0,1.5M,
OKLAHOMA,5621206,1997,July,F0,36.53,-96.68,36.53,-96.68,0,0,0,0,,
TEXAS,5611323,1997,June,F0,35.35,-100.23,35.35,-100.23,0,0,0,0,,
FLORIDA,5617096,1997,July,F0,28.17,-81.37,28.17,-81.37,0,0,0,0,,
WISCONSIN,5606306,1997,July,F0,45,-89.37,44.98,-89.38,0,0,0,0,200K,
NORTH DAKOTA,5606692,1997,July,F0,46,-99.77,46.03,-99.73,0,0,0,0,,
NEBRASKA,5606386,1997,July,F0,41.98,-97.43,41.98,-97.43,0,0,0,0,,
MICHIGAN,5607591,1997,July,F1,43.18,-84.15,43.18,-84.15,0,0,0,0,400K,
MICHIGAN,5607592,1997,July,F1,43.17,-84.15,43.17,-84.15,0,0,0,0,400K,
MICHIGAN,5607593,1997,July,F1,43.18,-83.98,43.18,-83.98,0,0,0,0,200K,
MICHIGAN,5607594,1997,July,F1,43.25,-83.9,43.25,-83.9,0,0,0,0,50K,
MICHIGAN,5607595,1997,July,F1,43.18,-83.87,43.18,-83.87,0,0,0,0,,
MICHIGAN,5607596,1997,July,F1,43.15,-83.87,43.15,-83.87,0,0,0,0,,
MICHIGAN,5607599,1997,July,F1,43.18,-83.37,43.18,-83.37,0,0,0,0,200K,
