name,age,value,nationality,overall,potential,club
De Gea,27,€72M,Spain,91,93,Manchester United
L. Sané,22,€61M,Germany,86,92,Manchester City
Marco Asensio,22,€54M,Spain,85,92,Real Madrid
M. ter Stegen,26,€58M,Germany,89,92,FC Barcelona
Sergio Ramos,32,€51M,Spain,91,91,Real Madrid
Isco,26,€73.5M,Spain,88,91,Real Madrid
H. Kane,24,€83.5M,England,89,91,Tottenham Hotspur
Kepa,23,€28.5M,Spain,83,91,Chelsea
D. Alli,22,€42.5M,England,84,90,Tottenham Hotspur
Saúl,23,€50.5M,Spain,85,90,Atlético Madrid
T. Kroos,28,€76.5M,Germany,90,90,Real Madrid
David Silva,32,€60M,Spain,90,90,Manchester City
N. Süle,22,€36.5M,Germany,84,90,FC Bayern München
Riqui Puig,18,€2.1M,Spain,69,89,FC Barcelona
Sergio Busquets,29,€51.5M,Spain,89,89,FC Barcelona
R. Sterling,23,€56.5M,England,86,89,Manchester City
M. Neuer,32,€38M,Germany,89,89,FC Bayern München
M. Rashford,20,€27M,England,81,89,Manchester United
J. Sancho,18,€14.5M,England,77,89,Borussia Dortmund
K. Havertz,19,€22M,Germany,80,89,Bayer 04 Leverkusen
Fabián,22,€26M,Spain,81,89,Napoli
Dani Ceballos,21,€25M,Spain,81,88,Real Madrid
Odriozola,22,€18.5M,Spain,80,88,Real Madrid
L. Goretzka,23,€34M,Germany,83,88,FC Bayern München
P. Foden,18,€8M,England,73,88,Manchester City
J. Brandt,22,€30.5M,Germany,82,88,Bayer 04 Leverkusen
T. Alexander-Arnold,19,€14M,England,78,88,Liverpool
M. Hummels,29,€46M,Germany,88,88,FC Bayern München
J. Pickford,24,€25M,England,83,88,Everton
J. Arp,18,€2.2M,Germany,69,88,Hamburger SV
J. Kimmich,23,€40.5M,Germany,85,88,FC Bayern München
S. Gnabry,22,€34.5M,Germany,83,88,FC Bayern München
J. Gomez,21,€14.5M,England,78,88,Liverpool
R. Sessegnon,18,€12M,England,75,88,Fulham
J. Tah,22,€29.5M,Germany,83,88,Bayer 04 Leverkusen
Carlos Soler,21,€21M,Spain,80,87,Valencia CF
Sergio Gómez,17,€1.8M,Spain,68,87,Borussia Dortmund
Carvajal,26,€31.5M,Spain,84,87,Real Madrid
Marc Roca,21,€11.5M,Spain,76,87,RCD Espanyol
B. Leno,26,€27M,Germany,84,87,Arsenal
Oyarzabal,21,€21M,Spain,80,87,Real Sociedad
T. Werner,22,€34.5M,Germany,83,87,RB Leipzig
J. Stones,24,€28.5M,England,83,87,Manchester City
C. Hudson-Odoi,17,€3.5M,England,70,87,Chelsea
Piqué,31,€34M,Spain,87,87,FC Barcelona
Marcos Llorente,23,€16M,Spain,79,87,Real Madrid
Jordi Alba,29,€38M,Spain,87,87,FC Barcelona
T. Horn,25,€24M,Germany,83,87,1. FC Köln
A. Gomes,17,€1.5M,England,67,87,Manchester United
Grimaldo,22,€20.5M,Spain,81,87,SL Benfica
Williams,24,€24.5M,Spain,81,87,Athletic Club de Bilbao
Rodri,22,€29M,Spain,82,87,Atlético Madrid
Pau López,23,€21.5M,Spain,82,87,Real Betis
Thiago,27,€45.5M,Spain,86,86,FC Bayern München
M. Gibbs-White,18,€1.6M,England,67,86,Wolverhampton Wanderers
Suso,24,€33M,Spain,83,86,Milan
M. Reus,29,€43.5M,Germany,86,86,Borussia Dortmund
J. Draxler,24,€32.5M,Germany,83,86,Paris Saint-Germain
Samu Castillejo,23,€29M,Spain,82,86,Milan
Ferrán Torres,18,€7M,Spain,73,86,Valencia CF
A. Maier,19,€7.5M,Germany,73,86,Hertha BSC
Pablo Fornals,22,€24M,Spain,81,86,Villarreal CF
Azpilicueta,28,€35M,Spain,86,86,Chelsea
Sergi Roberto,26,€26.5M,Spain,83,86,FC Barcelona
Pablo Maffeo,20,€13M,Spain,78,86,VfB Stuttgart
T. Müller,28,€45M,Germany,86,86,FC Bayern München
M. Mount,19,€11M,England,75,86,Derby County
Denis Suárez,24,€17.5M,Spain,79,86,FC Barcelona
C. Früchtl,18,€1M,Germany,65,86,FC Bayern München
M. Dahoud,22,€20M,Germany,80,86,Borussia Dortmund
Vallejo,21,€13.5M,Spain,78,86,Real Madrid
Koke,26,€45M,Spain,85,86,Atlético Madrid
Iniesta,34,€21.5M,Spain,86,86,Vissel Kobe
M. Özil,29,€43.5M,Germany,86,86,Arsenal
Brahim Díaz,18,€2.2M,Spain,69,86,Manchester City
N. Amiri,21,€14.5M,Germany,78,85,TSG 1899 Hoffenheim
B. Chilwell,21,€12.5M,England,78,85,Leicester City
Parejo,29,€37M,Spain,85,85,Valencia CF
J. Boateng,29,€30M,Germany,85,85,FC Bayern München
S. Khedira,31,€33M,Germany,85,85,Juventus
Diego Costa,29,€38.5M,Spain,85,85,Atlético Madrid
Sergio Asenjo,29,€24M,Spain,84,85,Villarreal CF
Aleñá,20,€6M,Spain,72,85,FC Barcelona
Gerard Moreno,26,€32M,Spain,83,85,Villarreal CF
S. Özcan,20,€3.9M,Germany,70,85,1. FC Köln
Jordi Mboula,19,€3.8M,Spain,70,85,AS Monaco
Nacho Fernández,28,€24.5M,Spain,83,85,Real Madrid
R. Nelson,18,€3.7M,England,70,85,TSG 1899 Hoffenheim
H. Maguire,25,€23.5M,England,82,85,Leicester City
A. Lookman,20,€7M,England,73,85,Everton
Morata,25,€28.5M,Spain,82,85,Chelsea
