club,age,avg
Manchester United,27,93.0
Milan,19,93.0
Real Madrid,17,92.0
Manchester City,22,92.0
Juventus,33,91.5
Real Madrid,25,91.0
Real Madrid,32,91.0
Atlético Madrid,25,90.5
Real Madrid,22,90.0
Real Madrid,26,89.5
FC Barcelona,31,89.25
Paris Saint-Germain,22,89.0
Bayer 04 Leverkusen,20,89.0
FC Barcelona,26,89.0
Olympique Lyonnais,24,89.0
Milan,20,89.0
Juventus,21,89.0
Brescia,18,89.0
Paris Saint-Germain,31,89.0
Manchester City,23,88.66666666666667
Inter,23,88.5
Juventus,24,88.5
FC Bayern München,22,88.33333333333333
Manchester City,24,88.33333333333333
FC Bayern München,26,88.0
Roma,21,88.0
FC Bayern München,23,88.0
Olympique de Marseille,18,88.0
Milan,21,88.0
Atlético Madrid,27,88.0
FC Barcelona,24,88.0
Paris Saint-Germain,26,88.0
Atlético Madrid,23,88.0
Sporting CP,23,88.0
Paris Saint-Germain,40,88.0
Valencia CF,17,88.0
Tottenham Hotspur,22,87.66666666666667
Real Madrid,28,87.66666666666667
Manchester City,32,87.5
Atlético Madrid,32,87.5
Cagliari,21,87.5
Paris Saint-Germain,24,87.5
Tottenham Hotspur,31,87.5
FC Barcelona,25,87.0
Stade Rennais FC,20,87.0
Juventus,18,87.0
Manchester United,24,87.0
Napoli,20,87.0
Real Betis,23,87.0
FC Barcelona,30,87.0
Paris Saint-Germain,23,87.0
Napoli,30,87.0
Manchester City,30,87.0
Lazio,28,87.0
Olympique de Marseille,25,87.0
FC Porto,19,87.0
Parma,19,87.0
Vancouver Whitecaps FC,17,87.0
Tottenham Hotspur,29,87.0
Athletic Club de Bilbao,24,87.0
Manchester United,17,87.0
Real Madrid,23,87.0
Olympique Lyonnais,20,87.0
Manchester United,25,86.75
FC Barcelona,29,86.66666666666667
Sporting CP,20,86.5
Chelsea,22,86.5
Wolverhampton Wanderers,21,86.5
FC Barcelona,21,86.5
Real Madrid,30,86.5
Manchester United,22,86.33333333333333
Bayer 04 Leverkusen,22,86.33333333333333
FC Bayern München,27,86.0
Juventus,23,86.0
Inter,25,86.0
Juventus,27,86.0
Derby County,19,86.0
Vissel Kobe,34,86.0
Ajax,21,86.0
FC Nantes,17,86.0
Eintracht Frankfurt,20,86.0
FC Bayern München,28,86.0
SL Benfica,18,86.0
Bayer 04 Leverkusen,17,86.0
SL Benfica,19,86.0
Manchester City,33,86.0
Inter,20,86.0
Chelsea,27,85.75
Liverpool,26,85.66666666666667
RB Leipzig,19,85.66666666666667
Arsenal,29,85.66666666666667
KAA Gent,18,85.5
AS Monaco,18,85.5
RB Leipzig,20,85.5
Juventus,31,85.5
Napoli,31,85.5
Milan,23,85.25
FC Bayern München,29,85.2
Valencia CF,23,85.0
Arsenal,23,85.0
Molde FK,17,85.0
Borussia Dortmund,24,85.0
Paris Saint-Germain,18,85.0
Watford,25,85.0
Atlético Madrid,29,85.0
Independiente,21,85.0
SL Benfica,20,85.0
Chelsea,23,85.0
Leicester City,24,85.0
FC Red Bull Salzburg,22,85.0
Roma,22,85.0
SV Werder Bremen,26,85.0
FC Porto,25,85.0
Liverpool,23,85.0
Real Madrid,24,85.0
AS Monaco,19,85.0
Bologna,21,85.0
Napoli,22,85.0
Manchester United,23,85.0
Manchester United,18,85.0
FC Barcelona,20,85.0
LA Galaxy,36,85.0
AZ Alkmaar,17,85.0
Valencia CF,22,85.0
Beşiktaş JK,35,85.0
Yokohama F. Marinos,17,85.0
Vitesse,21,85.0
Atalanta,20,85.0
Manchester City,27,84.75
Borussia Mönchengladbach,21,84.66666666666667
Inter,33,84.66666666666667
Manchester City,21,84.66666666666667
Napoli,27,84.6
Liverpool,25,84.5
RB Leipzig,22,84.5
1. FSV Mainz 05,21,84.5
Napoli,24,84.5
Manchester United,29,84.5
Tottenham Hotspur,24,84.33333333333333
Olympique Lyonnais,18,84.33333333333333
Olympique Lyonnais,23,84.33333333333333
Liverpool,24,84.25
Juventus,37,84.0
Borussia Dortmund,26,84.0
RCD Espanyol,23,84.0
Villarreal CF,29,84.0
Everton,20,84.0
Club Brugge KV,19,84.0
Paris Saint-Germain,30,84.0
Boca Juniors,24,84.0
Legia Warszawa,19,84.0
Stoke City,22,84.0
Dynamo Kyiv,18,84.0
Juventus,30,84.0
FC Barcelona,23,84.0
Sevilla FC,30,84.0
Shakhtar Donetsk,17,84.0
Excelsior,19,84.0
Paris Saint-Germain,17,84.0
AS Monaco,17,84.0
AEK Athens,20,84.0
RC Celta,30,84.0
Arsenal,30,84.0
Juventus,32,84.0
Real Sociedad,28,84.0
Shakhtar Donetsk,20,84.0
Fiorentina,20,84.0
Chelsea,26,84.0
FC Basel 1893,17,84.0
Tottenham Hotspur,25,84.0
Bournemouth,23,84.0
Hertha BSC,18,84.0
Valencia CF,28,84.0
AS Monaco,32,84.0
Milan,18,84.0
Valencia CF,26,84.0
Sassuolo,18,84.0
Atlanta United,25,84.0
Everton,23,84.0
DC United,18,84.0
Paris Saint-Germain,33,84.0
Chelsea,29,84.0
Olympique de Marseille,31,84.0
Rangers FC,18,84.0
FC Bayern München,34,84.0
Argentinos Juniors,18,84.0
AZ Alkmaar,19,84.0
Paris Saint-Germain,21,84.0
Borussia Dortmund,19,84.0
SL Benfica,34,84.0
Liverpool,20,84.0
Milan,24,83.75
Tottenham Hotspur,26,83.66666666666667
Inter,26,83.66666666666667
Borussia Dortmund,29,83.66666666666667
Real Betis,22,83.66666666666667
Napoli,21,83.66666666666667
Arsenal,20,83.5
Sampdoria,22,83.5
Heart of Midlothian,17,83.5
Atlético Madrid,26,83.5
Valencia CF,24,83.5
VfB Stuttgart,22,83.5
RB Leipzig,21,83.5
Lazio,23,83.5
Olympique de Marseille,23,83.5
VfB Stuttgart,21,83.5
Roma,32,83.5
SL Benfica,21,83.33333333333333
Juventus,25,83.33333333333333
Sevilla FC,26,83.33333333333333
Borussia Dortmund,22,83.2
Chelsea,17,83.2
Real Madrid,31,83.0
RB Leipzig,27,83.0
Sporting CP,21,83.0
Rayo Vallecano,23,83.0
FC Bayern München,35,83.0
Atlético Madrid,31,83.0
Torino,24,83.0
Olympique de Marseille,33,83.0
FC Red Bull Salzburg,17,83.0
Tottenham Hotspur,17,83.0
Valencia CF,29,83.0
FC Porto,28,83.0
Cosenza,17,83.0
Athletic Club de Bilbao,23,83.0
AS Monaco,30,83.0
Real Betis,24,83.0
Chelsea,25,83.0
RB Leipzig,23,83.0
VfL Wolfsburg,18,83.0
Dinamo Zagreb,20,83.0
Milan,35,83.0
Wolverhampton Wanderers,30,83.0
FC Barcelona,22,83.0
OGC Nice,19,83.0
Real Madrid,27,83.0
Huddersfield Town,24,83.0
Roma,23,83.0
Tottenham Hotspur,30,83.0
Club Brugge KV,17,83.0
AS Monaco,33,83.0
Olympique Lyonnais,22,83.0
Lazio,30,83.0
RCD Espanyol,24,83.0
Vitória Guimarães,19,83.0
OGC Nice,21,83.0
Hamburger SV,17,83.0
OGC Nice,27,83.0
