ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.A B Crosby,,,schooner,1884,,3/12/1888,1888,3,12,Atlantic Highlands,,,Grounded in snowstorm,,England,,,,,,"Aspinwall, PA",Porto Bello,Panama,"New York, NY",Masters,,,0,,,Coconuts,,N,N,Refloated; Made New York 3/26/1888,
S.S.A B Sherman,,,schooner,1883,,12/8/1886,1886,12,8,Five Fathoms Bank Light,,,Storm,Wood,US,154.5,35.5,15.4,612,581,"Taunton, MA",Boston,MA,"Baltimore, MD",,,,,,,,,,Y,#106238,
S.S.A C Austin,,,schooner,,,2/1868,1868,2,,Sandy Hook Romer Shoal,,,Grounded,Wood,US,,,,,,,,,,,,,,"$30,000",,Coal,,,N,,
S.S.A D Scull,,,schooner,1864,,4/18/1880,1880,4,18,Townsends Inlet,,,Grounded,Wood,US,,,,395,375,Great Egg Harbor,Fall River,MA,"New Castle, DE",Frambus,7,0,0,"$8,000","$1,000",Barrels,#34 Townsend's Inlet,N,N,#501; Refloated,
S.S.A E Douglass,,,schooner,1855,,6/4/1862,1862,6,4,Barnegat N 8 mi,,,Foundered,Wood,US,,,9,,150,"Middletown, CT",Philadelphia,PA,"Boston, MA",Coleman,3,3,5,,,Coal,,,N,,
S.S.A F Baillie,,,schooner,1872,,11/17/1875,1875,11,17,"Carters Bar, VA",,,Storm,Wood,US,,,,,284,"Tuckerton, NJ",Baltimore,MD,"Boston, MA",Charles Harkin,6,,,"$13,000","$1,400",Coal,,,N,#105159,
S.S.A F Crockett,,,schooner,1881,"Bath, ME",5/21/1894,1894,5,21,Harvey Cedars NE .5 mi,,,Stranded,Wood,US,141,31,1,434,412,"Rockland, ME",Brunswick,GA,"New York, NY",Thorndike,7,0,0,"$16,000","$7,000",Lumber,Harvey Cedars,,N,#106034; Total loss,
S.S.A Field,A D Field,,schooner,,,2/10/1852,1852,2,10,Deal Beach,,,Stranded,,,,,,,,,Cardenas,Mexico,"New York, NY",,10,,1,,,,,,N,"aka ""A D Field""",
S.S.A H Edward,,,schooner,,,1820,1820,,,Nine Mile Beach,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,Very little info,
S.S.A H Hurlburt,,,schooner,1871,"Middletown, CT",6/26/1884,1884,6,26,Cape May LSS SW 4 mi,,,Stranded,Wood,US,126,30,10,263.29,250.13,"New Haven, CT",Hallowell,ME,"Yorktown, VA",Crosby,7,,0,"$20,000","$40,000",Granite,Cape May,N,N,#105055; Refloated,
S.S.A J Bentley,,Bentley & Gildersleeve,schooner,1865,"Hartford, CT",5/27/1873,1873,5,27,Barnegat,,,Collision w/ unknown schooner,Wood,,,,10,290,,"New Haven, CT",Georgetown,DC,"New York, NY",Williams,,,,,,,,N,N,Partial loss; Towed to New Haven,
